date,text
2018-02-06 11:36:59,@mwood1712 Because it's him or because it's Leeds?
2018-02-06 11:36:59,@Corballyred @happydobbin44 Touch of roid rage.
2018-02-06 11:37:00,@mckennaconor K, weird. Using the tsn app, and the comp - all other cities working except MTL. I'll keep trying. In https://t.co/8sQ6DZKsir
2018-02-06 11:37:02,Happy 73rd EARTHSTRONG Bob Marley  . . . . .  https://t.co/bxkqSNgLhH
2018-02-06 11:37:04,On https://t.co/NKmB5AzOTO and tune in radio Tonight on Kingston Hospital Radio between 7pm and 10.30pm. https://t.co/etD6LOBpFW
2018-02-06 11:37:05,Electric Shooting Brake  The last development sketches of our based conversion we'll https://t.co/b7XXHWTTky
2018-02-06 11:37:10,listening 2 @goodgrieftrust @DyingMatters @hospiceuk  @compassionate2u we have a new bereavement group
2018-02-06 11:37:11,The Western Feminists hate the Iranian women.  The Western Feminists are being shown up for what they are. Poodles https://t.co/ixShD8bB8R
2018-02-06 11:37:12,Ah, thats a really cool oven.
2018-02-06 11:37:13,@robertrea Blimey Rob, take a Xanax... chill. Weve been through this before.
2018-02-06 11:37:14,I doesnt feel like Im going to see pnd tomorrow lmao
2018-02-06 11:37:16,@Slowpok0 @WolfTerrier YOU ARE ALL INVITED FOR A WINTER PUPPY DATE 
2018-02-06 11:37:16,going well  Rowing winners will be announced in half an hour! Will it be @CherwellPE https://t.co/1ZH9qBkvMM
2018-02-06 11:37:17,please tweet @seacolestatue pictures of any key events marking this great day so we can share. https://t.co/o9nIz8KcaI
2018-02-06 11:37:23,Live on https://t.co/q5tSEbfDIg  Two Hearts-@PhilCollinsFeed
2018-02-06 11:37:25,@CJamiesonMYT @stephenfry @themytrust Hi, we are planning to film and hopefully make available on he @rcpsych website 
2018-02-06 11:37:25,Game of Thrones Live Concert Experience 25May-14Jun  Ticketmaster {https://t.co/wy7UxQjarA}  Stubhub { https://t.co/BcCQALNafq
2018-02-06 11:37:25,@Darren_btn @disneygoff Snow is heavy. Probably a risk of the decs falling on people, or snow accumulating on them https://t.co/dCrsfBedqe
2018-02-06 11:37:25,Really looking forward to starting Alpha tonight! If you havent signed up, its not to late. Feel free to just dro https://t.co/8L97gCjtTA
2018-02-06 11:37:26,@soundaccord @northernheckler @davidjclayton @cpeedell Except they didnt ignore this protest. It was the main stor https://t.co/aOPmGKxk67
2018-02-06 11:37:26,Very nice gun and limber Set s @ Wood Street Indoor https://t.co/hWEwYyIxdp
2018-02-06 11:37:26,Today @casparhardholt and I from @MediaCT are present at the @Magento EMEA partner kickoff in London. The amount of https://t.co/dvc5v8OyLb
2018-02-06 11:37:31,@judithannmax @BridgetHeal @ChasSutcliffe @mjhptcott @blackcoffeegal @juliatetley Hope it soon stops Judith, it's c https://t.co/p5D5k70dhg
2018-02-06 11:37:31,@daveycunningham Xbox twat ! 
2018-02-06 11:37:31,@equalitywarrior Same! 
2018-02-06 11:37:32,British justice is in flames. The MoJs fiddling is criminal And it will deteriorate much further before any action https://t.co/K7JTc5FK7I
2018-02-06 11:37:32,This time its 12J starting my trip in style - Caribbean here I come https://t.co/BgJexIRqTZ
2018-02-06 11:37:40,is now trending in   https://t.co/VQ8JINYd4s https://t.co/JjATIJdWvr
2018-02-06 11:37:40,@parislees @AldboroughHatch And let's push too for those men who wish to do so to become nuns.
2018-02-06 11:37:41,Kylie is a marketing genius
2018-02-06 11:37:42,This Is Why Uma Thurman Is Angry https://t.co/EnvrzOl7Yc
2018-02-06 11:37:45,@jasondcampbell @FulhamFC I have been wearing 2 pairs of socks since Christmas. Going to be sweating in May  .
2018-02-06 11:37:47,@SeeMauritius so excited for our holiday in Mauritius...with my gorgeous man..who is from Mauritius...amazing.
2018-02-06 11:37:49,@SparkleyTwinkle Jeremy Irons Hosiery
2018-02-06 11:37:51,@sweetAbby20 @brian_blackcat @MiroSCWT @MadSCWT @HRHLou @MuddlesDog @Burrow43 @LynnieYankee @ThorSelfies https://t.co/NX5CWdAvCB
2018-02-06 11:37:52,Missed 1987, wont miss this remarkable moment https://t.co/Vmd5XbM3RG
