date,text
2018-04-17 10:52:54,@vickigregson @richardosman And whoever thought it was a good idea to invent homework?  
2018-04-17 10:52:53,@lorimikado especially if its girls I know. I just delete them feelings real quick  https://t.co/xvOrX2wSNX
2018-04-17 10:52:54,Drinking on a Tuesday morning is ok right?
2018-04-17 10:52:54,Another victim of the American's war on children in Vietnam. Children are still being born with birth defects and c https://t.co/w7iihkfif4
2018-04-17 10:52:54,On the Street London with Tallia @tallia_storm                                           Photo https://t.co/mYYWjpBYIe
2018-04-17 10:52:54,Vintage kimono pop-up is on 19-23 April. White Conduit Projects, 1 White Conduit Street in Islington, N1 9EL. 12-8. https://t.co/i82EzXgvg9
2018-04-17 10:52:55,Life - dead  Work - dead Morale - dead Body - somehow still alive but also dead inside
2018-04-17 10:52:55,BOOTY THICCC https://t.co/rAMhL0UP3o
2018-04-17 10:52:56,Golf Talk at the estate as soon as I  touch down, sort out the business then the tour.
2018-04-17 10:52:56,You can disagree with black people without being racist... Yes you can!
2018-04-17 10:52:56,@BoogsTweets Spiderwebs
2018-04-17 10:52:57,@Colipopz For me the pain after a workout gets better the more I do it. After every leg day however... https://t.co/ysRcAucLLX
2018-04-17 10:52:57,15/ Kaiser highlights three possible legal breaches - not reporting CA's work  for @Leave.EU to Electoral Commissio https://t.co/Zv8yYiT7Qr
2018-04-17 10:52:57,@mitya2 @ann_poppy @TuskaRock @willcpowell @Allyncondon @53cooldude @DrMurphy11 @billdossett @JadeTaylor8 https://t.co/tFfTFEgq23
2018-04-17 10:52:57,Suggested health warning on perfume and aftershave bottles: If you use too much you may be puked on in enclosed are https://t.co/LY8VmNPs1N
2018-04-17 10:52:57,@Lolafinesse She wasnt saying it to discourage me from telling them but to understand how they might see it. So I https://t.co/MW6WQN1i36
2018-04-17 10:52:58,@smartwater_uk @missjourdandunn There still #plastic going #glass or #tap Im afraid
2018-04-17 10:52:58,@esseeeayeenn Sounds divine
2018-04-17 10:52:58,Bit puzzled by the fact my youngest daughters postal vote has arrived at home despite the fact she asked for it to https://t.co/a5gUCD3g26
2018-04-17 10:52:58,@MaryTracy Oh no!! Bless you! Were your bananas super mushy?? https://t.co/xziNHKel6q
2018-04-17 10:52:59,My eyes are bleeding
2018-04-17 10:52:59,Girls day with @georgelaybs 
2018-04-17 10:52:59,Must read thread on all the things @UKLabour have conveniently forgotten to do about dealing with anti-Semitism in https://t.co/yJSsjZ2Ue5
2018-04-17 10:53:00,@jay_utd_mma  tickets on sale tomorrow! #wannago https://t.co/TkOClr15Z9
2018-04-17 10:53:00,In Memoriam: Joseph Driscoll (Driscoll Boat Works) https://t.co/WfKEkzo2xK
2018-04-17 10:53:00,You geniuses  https://t.co/vL4PiGOwkz
