date;text;keywords
2018-04-30 09:28:19;@youthhawk Can someone tell me the reason behind the continual lack of interest in the players in category 2 and 3 httpstco5hIBQfqDe9;player
2018-04-30 09:28:19;@7AnthonyDagher7 @VeganGenesis Love how youre all about the animals Ant but your people skills are atrocious;love, ant
2018-04-30 09:28:19;@stpeteyontweety you forgot Ainsley Harriott; Ainsley Harriott
2018-04-30 09:28:19;@BoringEnormous Earlier on  httpstco5zSXIC0X0k;Earlier
2018-04-30 09:28:19;@64scorpio Ha My pleasure Xx;pleasure
2018-04-30 09:28:19;@FightLikeACow You know having now seen it it is noticeably silly in that regard And yet on balance I still mo httpstcoilJGj2kVFl;on balance
2018-04-30 09:28:19;As I make my way to East Kilbride I notice a ball of fire high in the sky This must be the sun that I have heard httpstcoRsZNwUFfU9;fire
2018-04-30 09:28:19;A want Monday over and done with  feel ROTTEN;Monday
2018-04-30 09:28:19;You know youre a proper grown up when Number 38 you find yourself unreasonably delighted to have a new tap uni httpstcoMVCeKacuQh;grown up
2018-04-30 09:28:19;Duncan Castles knew Buvac was in temporarily leave and decided to spin a story that hed left in an argument with httpstcoYqrW2PD7D6;Duncan Castles
2018-04-30 09:28:19;They created lonelytogether and @RitaOra has paid tribute to @Avicii at a gig in the Netherlands TheMorningShow;lonelytogether,TheMorningShow
2018-04-30 09:28:19;@Baz1980WHU Rivalry I dont think so I cant think  of any other club City fans have more respect for Really hop httpstco9z9pHpEc42;club city fan
2018-04-30 09:28:19;Happy birthday to one of my most favourite actors@SamHeughan I hope youve a wonderful day Lots of love  httpstcoSuVJkH5gX2;birthday
2018-04-30 09:28:19;@NextStepFdn @damekellyholmes Love it @damekellyholmes xx MentalHealthAwareness;MentalHealthAwareness
2018-04-30 09:28:19;Great touch by @RobCross180 httpstcoW4zVfRa8rp;great
2018-04-30 09:28:19;Im so bad for fucking off from the cash machine without taking my dough;cash machine
2018-04-30 09:28:19;@annafrater happy birthday Anna have a good one xx;birthday
2018-04-30 09:28:19;@virginmedia I will try this and report back;try
2018-04-30 09:28:19;@jamilajaff @CamFanGang Do it She imagined the perfect son and there I was;perfect son
2018-04-30 09:28:19;why do i feel like mike isnt working with the presidents best interest in mind im gonna get mad if my thoughts are true;mike
2018-04-30 09:28:19;@ryano @itsemmatiernial @Devilsad2 We somehow got all those right Beats me;beat
2018-04-30 09:28:19;Katie and I are now in Brighton - DM us for 1-2-1 yoga andor fearless coaching Throwback to httpstcoI34jEVVUnm;yoga
2018-04-30 09:28:19;@wireysausagedog Have a great birthday Lottie - I brought you a pressie  httpstcojK81ZJtDaV;birthday
2018-04-30 09:28:19;@funkybeatts1903 @stuartie17 @AgentScotland Rangers couldnt raise a fuckin smile;smile
2018-04-30 09:28:19;cant wait to be back in my favourite place with my fave person  182 days to go httpstco3ClgtqAprU;favourite place
2018-04-30 09:28:19;Stand by Liverpool Youre going to feel the awesomeness of @BizSorority PoweroftheNetwork httpstcoBymggUZTTV; PoweroftheNetwork, liverpool
2018-04-30 09:28:19;Summer in london httpstcoFojVE8e7O7;london,summer
2018-04-30 09:28:19;@CherryOrchardFC @Keith_Fahey Fantastic gesture Keith thank you pal;gesture
2018-04-30 09:28:19;Sajid Javids record on welfare and benefits httpstco2nsVdl5o5i;welfare
2018-04-30 09:28:19;Is this the right minister for this role or was he chosen for his Liberal views and his multi cultural heritage  httpstcoZT63OSnJUX;minister
2018-04-30 09:28:19;@MarcusduSautoy We have been incredibly lucky = but not for the Siberians RUSSIA NEO ~ @albertfeynman More httpstcoNxKgL9xcKl;lucky
2018-04-30 09:28:19;Truss automation with Kinesys today for our Show Control module at @backstageacad httpstcoqyjlSq3Vih;Truss automation 
2018-04-30 09:28:19;Have you returned your postal vote Make sure your vote counts post it off by tomorrow evening otherwise it may ar httpstcodpUafcLiai;vote
2018-04-30 09:28:19;@toobanlad Stall the ball we may need a number 2 for Klopp gerrard;gerrard
2018-04-30 09:28:19;@saravastiares Melancholy Rain  Stive Morgan  LONA  httpstcok6IGzwdGr1  just 4 U &amp 4 a peaceful sleep httpstcoOrAwSpHwpo;peaceful sleep
2018-04-30 09:28:19;At AllIslandDialogue in @DkIT_ie hearing from @RealTaoiseach and @MichelBarnier on progress in Brexit negotiations httpstcoHu0exo86r1; AllIslandDialogue
2018-04-30 09:28:19;Signing off;singing
2018-04-30 09:28:19;Iconic httpstcoPFugz9PFrw;Iconoic
2018-04-30 09:28:19;@Virgin_TrainsEC Many thanks;thanks
2018-04-30 09:28:19;@W_F_Magee None of us wanted to spoil your story butwe already knew He actually tweeted about it yesterday;story
2018-04-30 09:28:19;@HKesvani Theyre good clothes Hussein;clothes
2018-04-30 09:28:19;On the ground Travel Consultants Sophie and Annerys are making the most of the unspoilt beaches of Tayrona Nationa httpstconIz3eocebG;Tayrona National park
2018-04-30 09:28:19;@SpiderNick82 Morning hun thanks you too xx;morning
2018-04-30 09:28:19;Im An MP And I Visited An Immigration Detention Centre Undercover What I Discovered Was Shocking - httpstcoNataYth6dD;Immigration detention center
2018-04-30 09:28:19;Do you remember when you joined Twitter I do MyTwitterAnniversary httpstcoYH1bjNiXYO;mytwitteranniversary
2018-04-30 09:28:19;Its very simple dont tell lies and you wont get caught out The Gov will been keen to smooth this over with a c httpstcoI8UfebfqMe;Gov
2018-04-30 09:28:19;@GuitarMoog @KevinMitch76ell Please remember the EU citizens who are still in limbo victims of the hostile environ httpstcoWpqYYCwwNN;victim EU
2018-04-30 09:28:19;@MadMancMama ooh hope your first shift back isnt a long one then   and im saying nowt about nurses uniforms coz th httpstcoRdb3xs0gS3;nurses uniform
2018-04-30 09:28:19;@antanddec_vines The hate account are giving the fan account a bad name;account
2018-04-30 09:28:19;All things at the club now turn to tomorrows Supp Cup semifinal The reserves face @FcMinster res   745pm Kick of httpstcoHB73KSQqId;Supp Cup semifinal
2018-04-30 09:28:19;Exam week is 3 weeks away and uni STILL have not finished content;Exam week
2018-04-30 09:28:19;There is no way Wenger drops Koscielny or Mustafi in favour of Holding or Mavropanos He is too attached to those g httpstcoVympmZrKrH;
2018-04-30 09:28:19;Brace Brace httpstco42NcmeXonZ;brace
2018-04-30 09:28:19;@angelneptustar @MayorofLondon @SadiqKhan @BorisJohnson @sadiqkahn @JamesCleverly Since 2010 the government has sy httpstcoo6TuYvCBNW;government
2018-04-30 09:28:19;The island is now considered an essential feature in any modern kitchen Not only does it provide essential prep sp httpstcoOmxGy88GrQ;modern kitchen
2018-04-30 09:28:19;@RHendersonArt Awwww love the piggie;piggies
2018-04-30 09:28:19;Im at marquis httpstcod0PmWkJxqh;marquis
2018-04-30 09:28:19;@boxxfresh_xx from Saturdays Warren Gatland lunch httpstco2E0PJlQt6M;lunch
2018-04-30 09:28:19;@FootballCliches @Eurosport_UK @alanshearer goal;goal
2018-04-30 09:28:19;Does Amber Rudd now get deported AmberRuddResigns;AmberRuddReigns
2018-04-30 09:28:19;Pretty sure;sure
2018-04-30 09:28:19;@hermitcrabeggs Sending you a massive hug  Feel better soon xx;hug
2018-04-30 09:28:19;@ActivePatriots If we hung people like this there wouldnt be a problem later on;hung people
2018-04-30 09:28:19;Woken up before 9am twice on my day off Im angry;angry
2018-04-30 09:28:19;@NathanW85618727 Yas can only go up from yesterday result;yesterday
2018-04-30 09:28:19;@SaorAlba59 @ron_dickinson Quite simply Ian the media establishment consider it more important to hopefully unsucc httpstco9nTrPQlYFm;media establishment
2018-04-30 09:28:19;Im guiding the first of two FREE walks for @frodshamtc on Wed 4th May starting at 630 pm Meet on the motorway br httpstcoIBbsQEnRaZ;guiding
2018-04-30 09:28:19;@tynesidecinema Hi could you DM the cult classic film tonight please Thanks;classic film
2018-04-30 09:28:19;@jordy_deelight Hope you get well again soon Big hugs xx;big hug
2018-04-30 09:28:19;No matter whether I am feeling happy or sad TranceMusic is always there to put me in a better mood  what would httpstcowfQNYCNdVY;TranceMusic
2018-04-30 09:28:19;For me Holt was the only outfield player who put in a shift yesterday Unfortunatlly thats all he has to give as a httpstcoAsFwDHM0vI;player
2018-04-30 09:28:19;Yet another cryptocurrency group Except this one is mine and we discuss things for newbies to get you on the right httpstcoqq4JWAAuxs;cryptocurrency
2018-04-30 09:28:19;@mutual_ayyde will only end in a united front and new wave of anarcho-monarchists which i will definitely sign up to;anarcho
2018-04-30 09:28:19;@BrandonCNorth Yeah Defo to Far for Twitter;eah
2018-04-30 09:28:19;The first priority for @sajidjavid has to be confronting the hostile environment and increasing transparency  We httpstcoCP5p969I2O;be confronting
2018-04-30 09:28:19;We hate you bitch httpstcoC6bw6jdMal;hate
2018-04-30 09:28:19;@potto76 Congrats on the win mate;win
2018-04-30 09:28:19;Lucky you then But someone must be missing such a beauty dont you think httpstco2TMzdTL25y;lucky
2018-04-30 09:28:19;@scott_mills was lovely to meet you at MSAwards2018 you were brilliant Im the mum of Zaynab - Young carer of th httpstcoVHOXp0GFCp;MSAwards2018 
2018-04-30 09:28:19;@WheelsofSteer @Ligero1 @FusionDabion it ewas a LUCHADOOR;LUCHADOOR
2018-04-30 09:28:19;Male pied fly on the village this morning Not unexpected;male pied
2018-04-30 09:28:19;Post malones new album gets me excited for Leeds;Post malones
2018-04-30 09:28:19;@moggy45 @swedeninuk Collecting passport;passport
2018-04-30 09:28:19;Not to take away from the message here but take a look at the mental institution shown in this video Why does it l httpstcoGVZ3JISGTl;mental institution
2018-04-30 09:28:19;@caroljallen I have your badge;badge
2018-04-30 09:28:19;@StevenjonesTC Thanks;thanks
2018-04-30 09:28:19;@SainsburysNews So reduced competition will result in increased prices;prices
2018-04-30 09:28:19;I better stop been a fat bastard and get moving  LondonMarathon MondayMotivation httpstcoO4sb01Ynt0;LondonMarathon, MondayMotivation 
2018-04-30 09:28:19;Bring on bank holiday weekend with my favourite person;holiday weekend
2018-04-30 09:28:19;heart eyes emoji x280 httpstcoc7puVcbFVo;emoji
2018-04-30 09:28:19;Repost @leicestermedia with get_repost  Colour Blast dash 2018 Victoria Park Leicester more httpstcoN1VRUsQmt4; 2018 Victoria Park
2018-04-30 09:28:19;Here Comes The Breeze @ O2 Academy Leeds httpstcofT45qbzAOl;Breeze
2018-04-30 09:28:19;bruce banner is gonna die in Avengers part 2 and the hulk will come out InfinityWar;InfinityWar
2018-04-30 09:28:19;@ROGAstronomers @RMGreenwich Ah ok Thankyou I only noticed last Sunday that you were doing these things I have httpstco524P3iyIfh; Sunday
2018-04-30 09:28:19;@bailliestontb I thought it was the premier inn advert;advert
2018-04-30 09:28:19;@AndyMitten @MysticalAlexis No its clearly a joke;joke
2018-04-30 09:28:19;Renowned Criminologist Professor John Lea will be giving a lecture today on Stop and Search All are welcome betwee httpstcoqyac002IpX;Criminologist Professor John Lea
2018-04-30 09:28:19;sometimes i wonder how ive managed to make it through 26yrs of life without something horrific happening;life, 26yrs
2018-04-30 09:28:19;oi oi get us on that plane httpstco2jCC8NWZvw;plane
