date;text
2018-04-30 09:28:19;@youthhawk Can someone tell me the reason behind the continual lack of interest in the players in category 2 and 3 httpstco5hIBQfqDe9
2018-04-30 09:28:19;@7AnthonyDagher7 @VeganGenesis Love how youre all about the animals Ant but your people skills are atrocious
2018-04-30 09:28:19;@stpeteyontweety you forgot Ainsley Harriott
2018-04-30 09:28:18;@BoringEnormous Earlier on  httpstco5zSXIC0X0k
2018-04-30 09:28:20;@64scorpio Ha My pleasure Xx
2018-04-30 09:28:20;@FightLikeACow You know having now seen it it is noticeably silly in that regard And yet on balance I still mo httpstcoilJGj2kVFl
2018-04-30 09:28:21;As I make my way to East Kilbride I notice a ball of fire high in the sky This must be the sun that I have heard httpstcoRsZNwUFfU9
2018-04-30 09:28:22;A want Monday over and done with  feel ROTTEN
2018-04-30 09:28:22;You know youre a proper grown up when Number 38 you find yourself unreasonably delighted to have a new tap uni httpstcoMVCeKacuQh
2018-04-30 09:28:22;Duncan Castles knew Buvac was in temporarily leave and decided to spin a story that hed left in an argument with httpstcoYqrW2PD7D6
2018-04-30 09:28:22;They created #lonelytogether and @RitaOra has paid tribute to @Avicii at a gig in the Netherlands #TheMorningShow
2018-04-30 09:28:23;@Baz1980WHU Rivalry I dont think so I cant think  of any other club City fans have more respect for Really hop httpstco9z9pHpEc42
2018-04-30 09:28:23;Happy birthday to one of my most favourite actors@SamHeughan I hope youve a wonderful day Lots of love  httpstcoSuVJkH5gX2
2018-04-30 09:28:24;@NextStepFdn @damekellyholmes Love it @damekellyholmes xx #MentalHealthAwareness
2018-04-30 09:28:24;Great touch by @RobCross180 httpstcoW4zVfRa8rp
2018-04-30 09:28:24;Im so bad for fucking off from the cash machine without taking my dough
2018-04-30 09:28:24;@annafrater happy birthday Anna have a good one xx
2018-04-30 09:28:25;@virginmedia I will try this and report back
2018-04-30 09:28:25;@jamilajaff @CamFanGang Do it She imagined the perfect son and there I was
2018-04-30 09:28:25;why do i feel like mike isnt working with the presidents best interest in mind im gonna get mad if my thoughts are true
2018-04-30 09:28:26;@ryano @itsemmatiernial @Devilsad2 We somehow got all those right Beats me
2018-04-30 09:28:26;Katie and I are now in Brighton - DM us for 1-2-1 yoga andor fearless coaching Throwback to httpstcoI34jEVVUnm
2018-04-30 09:28:25;@wireysausagedog Have a great birthday Lottie - I brought you a pressie  httpstcojK81ZJtDaV
2018-04-30 09:28:26;@funkybeatts1903 @stuartie17 @AgentScotland Rangers couldnt raise a fuckin smile
2018-04-30 09:28:26;cant wait to be back in my favourite place with my fave person  182 days to go httpstco3ClgtqAprU
2018-04-30 09:28:27;Stand by Liverpool Youre going to feel the awesomeness of @BizSorority #PoweroftheNetwork httpstcoBymggUZTTV
2018-04-30 09:28:27;Summer in #london httpstcoFojVE8e7O7
2018-04-30 09:28:28;@CherryOrchardFC @Keith_Fahey Fantastic gesture Keith thank you pal
2018-04-30 09:28:28;Sajid Javids record on welfare and benefits httpstco2nsVdl5o5i
2018-04-30 09:28:28;Is this the right minister for this role or was he chosen for his Liberal views and his multi cultural heritage  httpstcoZT63OSnJUX
2018-04-30 09:28:29;@MarcusduSautoy We have been incredibly lucky = but not for the Siberians RUSSIA NEO ~ @albertfeynman More httpstcoNxKgL9xcKl
2018-04-30 09:28:29;Truss automation with Kinesys today for our Show Control module at @backstageacad httpstcoqyjlSq3Vih
2018-04-30 09:28:29;Have you returned your postal vote Make sure your vote counts post it off by tomorrow evening otherwise it may ar httpstcodpUafcLiai
2018-04-30 09:28:31;@toobanlad Stall the ball we may need a number 2 for Klopp #gerrard
2018-04-30 09:28:31;@saravastiares Melancholy Rain  Stive Morgan  LONA  httpstcok6IGzwdGr1  just 4 U &amp 4 a peaceful sleep httpstcoOrAwSpHwpo
2018-04-30 09:28:31;At #AllIslandDialogue in @DkIT_ie hearing from @RealTaoiseach and @MichelBarnier on progress in Brexit negotiations httpstcoHu0exo86r1
2018-04-30 09:28:32;Signing off
2018-04-30 09:28:32;Iconic httpstcoPFugz9PFrw
2018-04-30 09:28:32;@Virgin_TrainsEC Many thanks
2018-04-30 09:28:33;@W_F_Magee None of us wanted to spoil your story butwe already knew He actually tweeted about it yesterday
2018-04-30 09:28:34;@HKesvani Theyre good clothes Hussein
2018-04-30 09:28:34;On the ground Travel Consultants Sophie and Annerys are making the most of the unspoilt beaches of Tayrona Nationa httpstconIz3eocebG
2018-04-30 09:28:34;@SpiderNick82 Morning hun thanks you too xx
2018-04-30 09:28:34;Im An MP And I Visited An Immigration Detention Centre Undercover What I Discovered Was Shocking - httpstcoNataYth6dD
2018-04-30 09:28:34;Do you remember when you joined Twitter I do #MyTwitterAnniversary httpstcoYH1bjNiXYO
2018-04-30 09:28:35;Its very simple dont tell lies and you wont get caught out The Gov will been keen to smooth this over with a c httpstcoI8UfebfqMe
2018-04-30 09:28:35;@GuitarMoog @KevinMitch76ell Please remember the EU citizens who are still in limbo victims of the hostile environ httpstcoWpqYYCwwNN
2018-04-30 09:28:36;@MadMancMama ooh hope your first shift back isnt a long one then   and im saying nowt about nurses uniforms coz th httpstcoRdb3xs0gS3
2018-04-30 09:28:37;@antanddec_vines The hate account are giving the fan account a bad name
2018-04-30 09:28:37;All things at the club now turn to tomorrows Supp Cup semifinal The reserves face @FcMinster res   745pm Kick of httpstcoHB73KSQqId
2018-04-30 09:28:37;Exam week is 3 weeks away and uni STILL have not finished content
2018-04-30 09:28:39;There is no way Wenger drops Koscielny or Mustafi in favour of Holding or Mavropanos He is too attached to those g httpstcoVympmZrKrH
2018-04-30 09:28:40;Brace Brace httpstco42NcmeXonZ
2018-04-30 09:28:40;@angelneptustar @MayorofLondon @SadiqKhan @BorisJohnson @sadiqkahn @JamesCleverly Since 2010 the government has sy httpstcoo6TuYvCBNW
2018-04-30 09:28:40;The island is now considered an essential feature in any modern kitchen Not only does it provide essential prep sp httpstcoOmxGy88GrQ
2018-04-30 09:28:41;@RHendersonArt Awwww love the piggie
2018-04-30 09:28:41;Im at marquis httpstcod0PmWkJxqh
2018-04-30 09:28:41;@boxxfresh_xx from Saturdays Warren Gatland lunch httpstco2E0PJlQt6M
2018-04-30 09:28:43;@FootballCliches @Eurosport_UK @alanshearer goal
2018-04-30 09:28:44;Does Amber Rudd now get deported #AmberRuddResigns
2018-04-30 09:28:44;Pretty sure
2018-04-30 09:28:44;@hermitcrabeggs Sending you a massive hug  Feel better soon xx
2018-04-30 09:28:44;@ActivePatriots If we hung people like this there wouldnt be a problem later on
2018-04-30 09:28:44;Woken up before 9am twice on my day off Im angry
2018-04-30 09:28:44;@NathanW85618727 Yas can only go up from yesterday result
2018-04-30 09:28:44;@SaorAlba59 @ron_dickinson Quite simply Ian the media establishment consider it more important to hopefully unsucc httpstco9nTrPQlYFm
2018-04-30 09:28:44;Im guiding the first of two FREE walks for @frodshamtc on Wed 4th May starting at 630 pm Meet on the motorway br httpstcoIBbsQEnRaZ
2018-04-30 09:28:46;@tynesidecinema Hi could you DM the cult classic film tonight please Thanks
2018-04-30 09:28:46;@jordy_deelight Hope you get well again soon Big hugs xx
2018-04-30 09:28:46;No matter whether I am feeling happy or sad #TranceMusic is always there to put me in a better mood  what would httpstcowfQNYCNdVY
2018-04-30 09:28:46;For me Holt was the only outfield player who put in a shift yesterday Unfortunatlly thats all he has to give as a httpstcoAsFwDHM0vI
2018-04-30 09:28:46;Yet another cryptocurrency group Except this one is mine and we discuss things for newbies to get you on the right httpstcoqq4JWAAuxs
2018-04-30 09:28:47;@mutual_ayyde will only end in a united front and new wave of anarcho-monarchists which i will definitely sign up to
2018-04-30 09:28:49;@BrandonCNorth Yeah Defo to Far for Twitter
2018-04-30 09:28:49;The first priority for @sajidjavid has to be confronting the hostile environment and increasing transparency  We httpstcoCP5p969I2O
2018-04-30 09:28:50;We hate you bitch httpstcoC6bw6jdMal
2018-04-30 09:28:51;@potto76 Congrats on the win mate
2018-04-30 09:28:51;Lucky you then But someone must be missing such a beauty dont you think httpstco2TMzdTL25y
2018-04-30 09:28:51;@scott_mills was lovely to meet you at #MSAwards2018 you were brilliant Im the mum of Zaynab - Young carer of th httpstcoVHOXp0GFCp
2018-04-30 09:28:51;@WheelsofSteer @Ligero1 @FusionDabion it ewas a LUCHADOOR
2018-04-30 09:28:52;Male pied fly on the village this morning Not unexpected
2018-04-30 09:28:52;Post malones new album gets me excited for Leeds
2018-04-30 09:28:52;@moggy45 @swedeninuk Collecting passport
2018-04-30 09:28:52;Not to take away from the message here but take a look at the mental institution shown in this video Why does it l httpstcoGVZ3JISGTl
2018-04-30 09:28:53;@caroljallen I have your badge
2018-04-30 09:28:53;@StevenjonesTC Thanks
2018-04-30 09:28:53;@SainsburysNews So reduced competition will result in increased prices
2018-04-30 09:28:54;I better stop been a fat bastard and get moving  #LondonMarathon #MondayMotivation httpstcoO4sb01Ynt0
2018-04-30 09:28:54;Bring on bank holiday weekend with my favourite person
2018-04-30 09:28:55;heart eyes emoji x280 httpstcoc7puVcbFVo
2018-04-30 09:28:56;#Repost @leicestermedia with get_repost  Colour Blast dash 2018 Victoria Park Leicester more httpstcoN1VRUsQmt4
2018-04-30 09:28:56;Here Comes The Breeze @ O2 Academy Leeds httpstcofT45qbzAOl
2018-04-30 09:28:57;bruce banner is gonna die in Avengers part 2 and the hulk will come out #InfinityWar
2018-04-30 09:28:57;@ROGAstronomers @RMGreenwich Ah ok Thankyou I only noticed last Sunday that you were doing these things I have httpstco524P3iyIfh
2018-04-30 09:28:58;@bailliestontb I thought it was the premier inn advert
2018-04-30 09:28:58;@AndyMitten @MysticalAlexis No its clearly a joke
2018-04-30 09:28:58;Renowned Criminologist Professor John Lea will be giving a lecture today on Stop and Search All are welcome betwee httpstcoqyac002IpX
2018-04-30 09:28:58;sometimes i wonder how ive managed to make it through 26yrs of life without something horrific happening
2018-04-30 09:28:58;oi oi get us on that plane httpstco2jCC8NWZvw
2018-04-30 09:28:19;@youthhawk Can someone tell me the reason behind the continual lack of interest in the players in category 2 and 3 httpstco5hIBQfqDe9
2018-04-30 09:28:19;@7AnthonyDagher7 @VeganGenesis Love how youre all about the animals Ant but your people skills are atrocious
2018-04-30 09:28:19;@stpeteyontweety you forgot Ainsley Harriott
2018-04-30 09:28:18;@BoringEnormous Earlier on  httpstco5zSXIC0X0k
2018-04-30 09:28:20;@64scorpio Ha My pleasure Xx
2018-04-30 09:28:20;@FightLikeACow You know having now seen it it is noticeably silly in that regard And yet on balance I still mo httpstcoilJGj2kVFl
2018-04-30 09:28:21;As I make my way to East Kilbride I notice a ball of fire high in the sky This must be the sun that I have heard httpstcoRsZNwUFfU9
2018-04-30 09:28:22;A want Monday over and done with  feel ROTTEN
