date;text;keywords
30.4.2018 9:28;@youthhawk Can someone tell me the reason behind the continual lack of interest in the players in category 2 and 3 httpstco5hIBQfqDe9;player
30.4.2018 9:28;@7AnthonyDagher7 @VeganGenesis Love how youre all about the animals Ant but your people skills are atrocious ;love, ant
30.4.2018 9:28;@stpeteyontweety you forgot Ainsley Harriott; Ainsley Harriott
30.4.2018 9:28;@BoringEnormous Earlier on  httpstco5zSXIC0X0k;Earlier
30.4.2018 9:28;@64scorpio Ha My pleasure Xx;pleasure
30.4.2018 9:28;@FightLikeACow You know having now seen it it is noticeably silly in that regard And yet on balance I still mo httpstcoilJGj2kVFl;on balance
30.4.2018 9:28;As I make my way to East Kilbride I notice a ball of fire high in the sky This must be the sun that I have heard httpstcoRsZNwUFfU9;fire
30.4.2018 9:28;A want Monday over and done with  feel ROTTEN;Monday
30.4.2018 9:28;You know youre a proper grown up when Number 38 you find yourself unreasonably delighted to have a new tap uni httpstcoMVCeKacuQh;grown up
30.4.2018 9:28;Duncan Castles knew Buvac was in temporarily leave and decided to spin a story that hed left in an argument with httpstcoYqrW2PD7D6;Duncan Castles
30.4.2018 9:28;They created #lonelytogether and @RitaOra has paid tribute to @Avicii at a gig in the Netherlands #TheMorningShow;#lonelytogether,#TheMorningShow
30.4.2018 9:28;@Baz1980WHU Rivalry I dont think so I cant think  of any other club City fans have more respect for Really hop httpstco9z9pHpEc42;club city fan
30.4.2018 9:28;Happy birthday to one of my most favourite actors@SamHeughan I hope youve a wonderful day Lots of love  httpstcoSuVJkH5gX2;birthday
30.4.2018 9:28;@NextStepFdn @damekellyholmes Love it @damekellyholmes xx #MentalHealthAwareness;#MentalHealthAwareness
30.4.2018 9:28;Great touch by @RobCross180 httpstcoW4zVfRa8rp;
30.4.2018 9:28;Im so bad for fucking off from the cash machine without taking my dough;cash machine
30.4.2018 9:28;@annafrater happy birthday Anna have a good one xx;birthday
30.4.2018 9:28;@virginmedia I will try this and report back;try
30.4.2018 9:28;@jamilajaff @CamFanGang Do it She imagined the perfect son and there I was;perfect son
30.4.2018 9:28;why do i feel like mike isnt working with the presidents best interest in mind im gonna get mad if my thoughts are true;mike
30.4.2018 9:28;@ryano @itsemmatiernial @Devilsad2 We somehow got all those right Beats me;beat
30.4.2018 9:28;Katie and I are now in Brighton - DM us for 1-2-1 yoga andor fearless coaching Throwback to httpstcoI34jEVVUnm;yoga
30.4.2018 9:28;@wireysausagedog Have a great birthday Lottie - I brought you a pressie  httpstcojK81ZJtDaV;birthday
30.4.2018 9:28;@funkybeatts1903 @stuartie17 @AgentScotland Rangers couldnt raise a fuckin smile;smile
30.4.2018 9:28;cant wait to be back in my favourite place with my fave person  182 days to go httpstco3ClgtqAprU;favourite place
30.4.2018 9:28;Stand by Liverpool Youre going to feel the awesomeness of @BizSorority #PoweroftheNetwork httpstcoBymggUZTTV; #PoweroftheNetwork, liverpool
30.4.2018 9:28;Summer in #london httpstcoFojVE8e7O7;#london,summer
30.4.2018 9:28;@CherryOrchardFC @Keith_Fahey Fantastic gesture Keith thank you pal ;gesture
30.4.2018 9:28;Sajid Javids record on welfare and benefits httpstco2nsVdl5o5i;welfare
30.4.2018 9:28;Is this the right minister for this role or was he chosen for his Liberal views and his multi cultural heritage  httpstcoZT63OSnJUX;minister
30.4.2018 9:28;@MarcusduSautoy We have been incredibly lucky = but not for the Siberians RUSSIA NEO ~ @albertfeynman More httpstcoNxKgL9xcKl;lucky
30.4.2018 9:28;Truss automation with Kinesys today for our Show Control module at @backstageacad httpstcoqyjlSq3Vih;Truss automation 
